Nazwa,Cena,Białko,Tłuszcz,Popiół,Włókno,Wilgotność,Wapń,Fosfor,Węglowodany,Energia,Skład,Opis,species,food_type
Acana Wild Prairie Sucha Karma dla kota op. 340g,29.00,37.0%,18.0%,9.0%,3.0%,,1.6%,1.2%,,,"Świeży kurczak 11%, surowy indyk 10%, świeże organy z kurczaka (wątroba, serce) 9%, dehydratyzowany kurczak 9%, dehydratyzowany indyk 8%, dehydratyzowany śledź 8%, cała fasola pinto, cały groch, tłuszcz z kurczaka 5%, cała czerwona soczewica, cała ciecierzyca, cała zielona soczewica, świeże jaja 4%, surowe ryby słodkowodne 4%, surowy pstrąg 4%, surowa wątroba indyka 2%, włókno soczewicy, olej rybny 1%, suszony kelp, świeża cała dynia, świeża cała dynia piżmowa, świeża cała marchew, świeże całe jabłka, świeże całe gruszki, świeża cała cukinia, suszony korzeń cykorii, świeży jarmuż, świeży szpinak, świeże liście rzepy, świeże liście buraków, cała żurawina, całe borówki, całe jagody saskatoon, korzeń kurkumy, ostropest plamisty, korzeń łopianu, lawenda, korzeń prawoślazu lekarskiego, owoce dzikiej róży, ekstrakt tokoferolu z olejów roślinnych, kwas cytrynowy, ekstrakt z rozmarynu","Wysokiej jakości karma z drobiem przeznaczona dla kotów w każdym wieku. Acana to kanadyjska karma dla psów i kotów, która powstaje w kuchni NorthStar w Albercie. Zawiera dużą zawartość mięsa w proporcjach WholePray. Obok mięsa mięśniowego w składzie znajdują się organy, chrząstki i szpik, które są naturalnym źródłem związków mineralnych i witamin. Formuły są bez sztucznych suplementów, za to przepełnione są świeżymi owocami i warzywami oraz ziołami, które dostarczają naturalnych składników odżywczych. Acana Wild Prairie to karma sucha dla kotów w każdym wieku. Przepełniona jest kurczakiem z wolnego wybiegu, indykiem oraz rybami poławianymi w naturalnym środowisku - wszystko we właściwych proporcjach, aby odżywić kota w sposób naturalny, bez sztucznych dodatków. Formuła ma ograniczoną zawartość węglowodanów, a przepełniona jest białkiem zwierzęcym by zapewnić kotu szczytową formę. Świeże ryby są najlepszym źródłem łatwostrawnych, nienasyconych kwasów tłuszczowych Omega3, które są niezbędne dla prawidłowego funkcjonowania układu immunologicznego i nerwowego kota, a także poprawia wygląd skóry i sierści. Karma zawiera, aż 30% zdrowych owoców i warzyw: jabłka, gruszki, szpinak, dynia i ziemniaki. Wielkość i kształt granulki został uśredniony tak, aby kot każdej rasy i w każdym wieku mógł sobie z nią poradzić.",cat,dry
Acana Wild Prairie Sucha Karma dla kota op. 4.5kg,199.00,37.0%,18.0%,9.0%,3.0%,,1.6%,1.2%,,,"Świeży kurczak 11%, surowy indyk 10%, świeże organy z kurczaka (wątroba, serce) 9%, dehydratyzowany kurczak 9%, dehydratyzowany indyk 8%, dehydratyzowany śledź 8%, cała fasola pinto, cały groch, tłuszcz z kurczaka 5%, cała czerwona soczewica, cała ciecierzyca, cała zielona soczewica, świeże jaja 4%, surowe ryby słodkowodne 4%, surowy pstrąg 4%, surowa wątroba indyka 2%, włókno soczewicy, olej rybny 1%, suszony kelp, świeża cała dynia, świeża cała dynia piżmowa, świeża cała marchew, świeże całe jabłka, świeże całe gruszki, świeża cała cukinia, suszony korzeń cykorii, świeży jarmuż, świeży szpinak, świeże liście rzepy, świeże liście buraków, cała żurawina, całe borówki, całe jagody saskatoon, korzeń kurkumy, ostropest plamisty, korzeń łopianu, lawenda, korzeń prawoślazu lekarskiego, owoce dzikiej róży, ekstrakt tokoferolu z olejów roślinnych, kwas cytrynowy, ekstrakt z rozmarynu","Wysokiej jakości karma z drobiem przeznaczona dla kotów w każdym wieku. Acana to kanadyjska karma dla psów i kotów, która powstaje w kuchni NorthStar w Albercie. Zawiera dużą zawartość mięsa w proporcjach WholePray. Obok mięsa mięśniowego w składzie znajdują się organy, chrząstki i szpik, które są naturalnym źródłem związków mineralnych i witamin. Formuły są bez sztucznych suplementów, za to przepełnione są świeżymi owocami i warzywami oraz ziołami, które dostarczają naturalnych składników odżywczych. Acana Wild Prairie to karma sucha dla kotów w każdym wieku. Przepełniona jest kurczakiem z wolnego wybiegu, indykiem oraz rybami poławianymi w naturalnym środowisku - wszystko we właściwych proporcjach, aby odżywić kota w sposób naturalny, bez sztucznych dodatków. Formuła ma ograniczoną zawartość węglowodanów, a przepełniona jest białkiem zwierzęcym by zapewnić kotu szczytową formę. Świeże ryby są najlepszym źródłem łatwostrawnych, nienasyconych kwasów tłuszczowych Omega3, które są niezbędne dla prawidłowego funkcjonowania układu immunologicznego i nerwowego kota, a także poprawia wygląd skóry i sierści. Karma zawiera, aż 30% zdrowych owoców i warzyw: jabłka, gruszki, szpinak, dynia i ziemniaki. Wielkość i kształt granulki został uśredniony tak, aby kot każdej rasy i w każdym wieku mógł sobie z nią poradzić.",cat,dry
Applaws Adult Chicken Sucha Karma dla kota op. 2kg,69.00,37.00%,16.50%,8.00%,2.00%,,2.00%,,,,"Witaminy: witamina A (octan retinylu) 27 850 j.m./kg, witamina D3 (cholekalcyferol) 1 200 j.m./kg, witamina E (octan alfa-tokoferylu) 615 j.m./kg, pierwiastki śladowe: selen z seleninu sodu 0,13 mg/kg, jod z bezwodnego jodanu wapnia 1,5 mg/kg, żelazo z jednowodnego siarczanu żelaza 80 mg/kg miedź z pięciowodnego siarczanu miedzi 48 mg/kg, mangan z jednowodnego siarczanu manganu 38 mg/kg, cynk z jednowodnego siarczanu cynku 135 mg/kg,","Sucha karma dla kotów Applaws jest unikalną w swojej formule kompletną dietą, zbliżoną do naturalnego pokarmu jakim odżywiają się koty na wolności. Koty są mięsożerne i ich system trawienny jest nastawiony na mięso. Sucha karma Applaws zawiera wysoką ilość białka zwierzęcego, odpowiedni poziom węglowodanów i dodatków zbożowych występujących w innych karmach. Karma jest hipoalergiczna, nie zawiera typowych alergenów jak soja, pszenica, kukurydza czy inne zboża. W składzie jest aż 80% mięsa i 20% warzyw i naturalnych składników.Zawiera natomiast zestaw antyutleniaczy jak selen, naturalny tokoferol (witamina E), olej rozmarynowy. Naturalne kwasy Omega 3 i 6 wspomagają kondycję sierści. Wyciąg z żurawiny udrażnia drogi moczowe oraz wspomaga system trawienny. Naturalne prebiotyki wspomagają rozwój bakterii potrzebnych organizmowi do właściwej pracy układu trawiennego. Pokarm dodatkowo zawiera formułę odkłaczającą.Zalecana porcja dzienna jest podana w przybliżeniu, ponieważ wymagania zależą od wieku, wielkości i poziomu aktywności, a także od tego, czy podawany jest również mokry pokarm. Jeśli kot dostaje również mokry pokarm, to trzeba zmniejszyć porcje suchej karmy, aby zapobiec tyciu.",cat,dry
Applaws Adult Chicken Sucha Karma dla kota op. 7.5kg,159.00,37.00%,20.00%,10.80%,2.10%,,2.80%,,,,"Kurczak (49,5%, mięso z kurczaka 46%, świeżo przygotowany kurczak* 3,5%), ziemniaki*, tłuszcz drobiowy (8%), suszone wysłodki buraczane*, suszone drożdże piwne*, witaminy i minerały, sos drobiowy (1,5%), olej z łososia, proszek z jaj*, wyciąg z cykorii* (0,2%, źródło prebiotycznych FOS), algi*, wyciąg z jukki schidigera*, sproszkowana żurawina.","Sucha karma dla kotów Applaws jest unikalną w swojej formule kompletną dietą, zbliżoną do naturalnego pokarmu jakim odżywiają się koty na wolności. Koty są mięsożerne i ich system trawienny jest nastawiony na mięso. Sucha karma Applaws zawiera wysoką ilość białka zwierzęcego, odpowiedni poziom węglowodanów i dodatków zbożowych występujących w innych karmach. Karma jest hipoalergiczna, nie zawiera typowych alergenów jak soja, pszenica, kukurydza czy inne zboża. W składzie jest aż 80% mięsa i 20% warzyw i naturalnych składników.Zawiera natomiast zestaw antyutleniaczy jak selen, naturalny tokoferol (witamina E), olej rozmarynowy. Naturalne kwasy Omega 3 i 6 wspomagają kondycję sierści. Wyciąg z żurawiny udrażnia drogi moczowe oraz wspomaga system trawienny. Naturalne prebiotyki wspomagają rozwój bakterii potrzebnych organizmowi do właściwej pracy układu trawiennego. Pokarm dodatkowo zawiera formułę odkłaczającą.Zalecana porcja dzienna jest podana w przybliżeniu, ponieważ wymagania zależą od wieku, wielkości i poziomu aktywności, a także od tego, czy podawany jest również mokry pokarm. Jeśli kot dostaje również mokry pokarm, to trzeba zmniejszyć porcje suchej karmy, aby zapobiec tyciu. Pamiętaj o zapewnieniu ciągłego dostępu do świeżej wody.",cat,dry
Applaws Adult Chicken with Extra Duck Sucha Karma dla kota op. 2kg,69.00,38.00%,20.00%,11.30%,2.10%,,2.80%,,,,"Witaminy i minerały, suszone jaja, włókno celulozowe pochodzenia roślinnego 0,03%, chlorek sodu, węglan wapnia, wodorosty/algi, żurawina, DL-metionina, chlorek potasu, ekstrakt z juki, ekstrakt z owoców cytrusowych, ekstrakt z rozmarynu","Sucha karma dla kotów Applaws jest unikalną w swojej formule kompletną dietą, zbliżoną do naturalnego pokarmu jakim odżywiają się koty na wolności. Koty są mięsożerne i ich system trawienny jest nastawiony na mięso. Sucha karma Applaws zawiera wysoką ilość białka zwierzęcego bez dużego poziomu węglowodanów i dodatków zbożowych występujących w innych karmach. Karma jest hipoalergiczna, bo nie zawiera typowych alergenów jak soja, pszenica, kukurydza czy inne zboża. W składzie jest aż 80% mięsa i 20% warzyw i składników naturalnych.Natomiast zawiera zestaw antyutleniaczy jak selen, naturalny tokoferol (witamina E), olej rozmarynowy. Naturalne kwasy Omega 3 i 6 wspomagają kondycję sierści. Wyciąg z żurawiny udrażnia drogi moczowe oraz wspomaga system trawienny. Naturalne prebiotyki wspomagają rozwój bakterii potrzebnych organizmowi do właściwej pracy układu trawiennego. Pokarm dodatkowo zawiera formułę odkłaczającą.Zalecana porcja dzienna jest podana w przybliżeniu, ponieważ wymagania zależą od wieku, wielkości i poziomu aktywności, a także od tego, czy podawany jest również mokry pokarm. Jeśli kot dostaje również mokry pokarm, to trzeba zmniejszyć porcje suchej karmy, aby zapobiec tyciu. Pamiętaj o zapewnieniu ciągłego dostępu do świeżej wody.",cat,dry
Applaws Adult Chicken with Extra Duck Sucha Karma dla kota op. 7.5kg,159.00,36.5%,26.0%,8.0%,2.0%,,2.80%,,,,"Kurczak 44% (mączka z kurczaka 41%, świeżo przygotowany kurczak 3%), ziemniaki, tłuszcz drobiowy 8%, mączka z kaczki 4%, pulpa buraczana, suszone drożdże piwne, witaminy i minerały, sos drobiowy 1.5%, proszek jajeczny, olej z łososia, ekstrakt z cykorii 0.2%, wodorosty, ekstrakt z juki Schidigera, proszek żurawinowy.","Sucha karma dla kotów Applaws jest unikalną w swojej formule kompletną dietą, zbliżoną do naturalnego pokarmu jakim odżywiają się koty na wolności. Koty są mięsożerne i ich system trawienny jest nastawiony na mięso. Sucha karma Applaws zawiera wysoką ilość białka zwierzęcego bez dużego poziomu węglowodanów i dodatków zbożowych występujących w innych karmach. Karma jest hipoalergiczna, bo nie zawiera typowych alergenów jak soja, pszenica, kukurydza czy inne zboża. W składzie jest aż 80% mięsa i 20% warzyw i składników naturalnych.Natomiast zawiera zestaw antyutleniaczy jak selen, naturalny tokoferol (witamina E), olej rozmarynowy. Naturalne kwasy Omega 3 i 6 wspomagają kondycję sierści. Wyciąg z żurawiny udrażnia drogi moczowe oraz wspomaga system trawienny. Naturalne prebiotyki wspomagają rozwój bakterii potrzebnych organizmowi do właściwej pracy układu trawiennego. Pokarm dodatkowo zawiera formułę odkłaczającą.Zalecana porcja dzienna jest podana w przybliżeniu, ponieważ wymagania zależą od wieku, wielkości i poziomu aktywności, a także od tego, czy podawany jest również mokry pokarm. Jeśli kot dostaje również mokry pokarm, to trzeba zmniejszyć porcje suchej karmy, aby zapobiec tyciu. Pamiętaj o zapewnieniu ciągłego dostępu do świeżej wody.",cat,dry
Applaws Adult Chicken with Extra Lamb Sucha Karma dla kota op. 2kg,69.00,36.00%,16.00%,8.00%,3.00%,,2.80%,,,,"Witamina A (octan retinylu) (27 850 j.m./kg), witamina D3 (cholekalcyferol) (1200 j.m./kg), witamina E (octan alfa-tokoferolu) (615 j.m./kg), selen (selenian sodu) (0,13 mg/kg), jod (bezwodny jodan wapnia) (1,5 mg/kg), żelazo (jednowodny siarczan żelaza) (80 mg/kg), miedź (pięciowodny siarczan miedzi) (48 mg/kg), mangan (jednowodny siarczan manganu) (38 mg/kg), cynk (jednowodny siarczan cynku) (135 mg/kg).","Sucha karma dla kotów Applaws jest unikalną w swojej formule kompletną dietą, zbliżoną do naturalnego pokarmu jakim odżywiają się koty na wolności. Koty są mięsożerne i ich system trawienny jest nastawiony na mięso. Sucha karma Applaws zawiera wysoką ilość białka zwierzęcego bez dużego poziomu węglowodanów i dodatków zbożowych występujących w innych karmach. Karma jest hipoalergiczna, bo nie zawiera typowych alergenów jak soja, pszenica, kukurydza czy inne zboża. W składzie znajduje się aż 80% mięsa i 20% warzyw i naturalnych dodatków.Natomiast zawiera zestaw antyutleniaczy jak selen, naturalny tokoferol (witamina E), olej rozmarynowy. Naturalne kwasy Omega 3 i 6 wspomagają kondycję sierści. Wyciąg z żurawiny udrażnia drogi moczowe oraz wspomaga system trawienny. Naturalne prebiotyki wspomagają rozwój bakterii potrzebnych organizmowi do właściwej pracy układu trawiennego. Pokarm dodatkowo zawiera formułę odkłaczającą.Zalecana porcja dzienna jest podana w przybliżeniu, ponieważ wymagania zależą od wieku, wielkości i poziomu aktywności, a także od tego, czy podawany jest również mokry pokarm. Jeśli kot dostaje również mokry pokarm, to trzeba zmniejszyć porcje suchej karmy, aby zapobiec tyciu. Pamiętaj o zapewnieniu ciągłego dostępu do świeżej wody.",cat,dry
Applaws Adult Chicken with Extra Lamb Sucha Karma dla kota op. 7.5kg,159.00,36.00%,16.00%,8.00%,3.00%,,2.80%,,,,"Witaminy i minerały, pulpa buraczana*, suszone drożdże piwne*, sos drobiowy 1,5%, jaja w proszku*, olej z łososia, ekstrakt z cykorii* 0,2% (źródło prebiotyków FOS), wodorosty*, ekstrakt z juki*, sproszkowana żurawina. *Składniki naturalne.","Sucha karma dla kotów Applaws jest unikalną w swojej formule kompletną dietą, zbliżoną do naturalnego pokarmu jakim odżywiają się koty na wolności. Koty są mięsożerne i ich system trawienny jest nastawiony na mięso. Sucha karma Applaws zawiera wysoką ilość białka zwierzęcego bez dużego poziomu węglowodanów i dodatków zbożowych występujących w innych karmach. Karma jest hipoalergiczna, bo nie zawiera typowych alergenów jak soja, pszenica, kukurydza czy inne zboża. W składzie znajduje się aż 80% mięsa i 20% warzyw i naturalnych dodatków.Natomiast zawiera zestaw antyutleniaczy jak selen, naturalny tokoferol (witamina E), olej rozmarynowy. Naturalne kwasy Omega 3 i 6 wspomagają kondycję sierści. Wyciąg z żurawiny udrażnia drogi moczowe oraz wspomaga system trawienny. Naturalne prebiotyki wspomagają rozwój bakterii potrzebnych organizmowi do właściwej pracy układu trawiennego. Pokarm dodatkowo zawiera formułę odkłaczającą.Zalecana porcja dzienna jest podana w przybliżeniu, ponieważ wymagania zależą od wieku, wielkości i poziomu aktywności, a także od tego, czy podawany jest również mokry pokarm. Jeśli kot dostaje również mokry pokarm, to trzeba zmniejszyć porcje suchej karmy, aby zapobiec tyciu. Pamiętaj o zapewnieniu ciągłego dostępu do świeżej wody.",cat,dry
Applaws Adult Chicken with Extra Salmon Sucha Karma dla kota op. 2kg,69.00,36.50%,16.00%,8.00%,1.50%,,2.10%,,,,"Mączka z kurczaka 40%, ziemniaki*, łosoś 9,5% (świeżo przygotowany łosoś* 5,5%, mączka z łososia 4%), tłuszcz drobiowy 8%, witaminy i minerały, pulpa buraczana*, sos drobiowy 1,5%, olej z łososia 0,5%, proszek jajeczny *, suszone drożdże piwne*, ekstrakt z cykorii* 0,2% (źródło prebiotycznego FOS), wodorosty*, ekstrakt z juki Schidigera*, sproszkowana żurawina. *Naturalne składniki.","Sucha karma dla kotów Applaws jest unikalną w swojej formule kompletną dietą, zbliżoną do naturalnego pokarmu jakim odżywiają się koty na wolności. Koty są mięsożerne i ich system trawienny jest nastawiony na mięso. Sucha karma Applaws zawiera wysoką ilość białka zwierzęcego bez dużego poziomu węglowodanów i dodatków zbożowych występujących w innych karmach. Karma jest hipoalergiczna, bo nie zawiera typowych alergenów jak soja, pszenica, kukurydza czy inne zboża. W składzie znajduje się aż 80% mięsa i 20% warzyw i produktów naturalnych. Natomiast zawiera zestaw antyutleniaczy jak selen, naturalny tokoferol (witamina E), olej rozmarynowy. Naturalne kwasy Omega 3 i 6 wspomagają kondycję sierści. Wyciąg z żurawiny udrażnia drogi moczowe oraz wspomaga system trawienny. Naturalne prebiotyki wspomagają rozwój bakterii potrzebnych organizmowi do właściwej pracy układu trawiennego. Pokarm dodatkowo zawiera formułę odkłaczającą.Zalecana porcja dzienna jest podana w przybliżeniu, ponieważ wymagania zależą od wieku, wielkości i poziomu aktywności, a także od tego, czy podawany jest również mokry pokarm. Jeśli kot dostaje również mokry pokarm, to trzeba zmniejszyć porcje suchej karmy, aby zapobiec tyciu. Pamiętaj o zapewnieniu ciągłego dostępu do świeżej wody.",cat,dry
Applaws Adult Chicken with Extra Salmon Sucha Karma dla kota op. 7.5kg,159.00,36.5%,16.0%,8.0%,1.5%,,2.1%,1.2%,,,"Mączka z kurczaka 40%, ziemniaki, łosoś 9,5% (świeżo przygotowany łosoś 5,5%, mączka z łososia 4%), tłuszcz drobiowy 8%, witaminy i minerały, pulpa buraczana, sos drobiowy 1,5%, olej z łososia 0,5%, proszek jajeczny, suszone drożdże piwne, ekstrakt z cykorii 0,2%, wodorosty morskie, wyciąg z jukki schidigera, proszek żurawinowy","Sucha karma dla kotów Applaws jest unikalną w swojej formule kompletną dietą, zbliżoną do naturalnego pokarmu jakim odżywiają się koty na wolności. Koty są mięsożerne i ich system trawienny jest nastawiony na mięso. Sucha karma Applaws zawiera wysoką ilość białka zwierzęcego bez dużego poziomu węglowodanów i dodatków zbożowych występujących w innych karmach. Karma jest hipoalergiczna, bo nie zawiera typowych alergenów jak soja, pszenica, kukurydza czy inne zboża. W składzie znajduje się aż 80% mięsa i 20% warzyw i produktów naturalnych. Natomiast zawiera zestaw antyutleniaczy jak selen, naturalny tokoferol (witamina E), olej rozmarynowy. Naturalne kwasy Omega 3 i 6 wspomagają kondycję sierści. Wyciąg z żurawiny udrażnia drogi moczowe oraz wspomaga system trawienny. Naturalne prebiotyki wspomagają rozwój bakterii potrzebnych organizmowi do właściwej pracy układu trawiennego. Pokarm dodatkowo zawiera formułę odkłaczającą.Zalecana porcja dzienna jest podana w przybliżeniu, ponieważ wymagania zależą od wieku, wielkości i poziomu aktywności, a także od tego, czy podawany jest również mokry pokarm. Jeśli kot dostaje również mokry pokarm, to trzeba zmniejszyć porcje suchej karmy, aby zapobiec tyciu. Pamiętaj o zapewnieniu ciągłego dostępu do świeżej wody.",cat,dry
Applaws Adult Ocean Fish with Salmon Sucha Karma dla kota op. 1.8kg,69.00,30.00%,14.50%,10.00%,3.50%,,1.40%,,,,"świeże ryby karpiowate 18%, groch, mąka ze śledzia 12%, mąka z ciecierzycy, soczewica, świeży łosoś 8%, mączka z ryb karpiowatych 5%, siemię lniane, drożdże piwne, olej z łososia 3%, lucerna, mąka z łososia 2,5%, hydrolizowane białko rybne 2,5%, suszona żurawina, witaminy i minerały, olej kokosowy, suszone jabłko, suszona gruszka, inulina, suszone pomidory, suszony szpinak, ekstrakt z cytrusów, ekstrakt z rozmarynu, ekstrakt z juki.","Sucha karma dla kotów Applaws jest unikalną w swojej formule kompletną dietą, zbliżoną do naturalnego pokarmu jakim odżywiają się koty na wolności. Koty są mięsożerne i ich system trawienny jest nastawiony na mięso. Sucha karma Applaws zawiera wysoką ilość białka zwierzęcego bez dużego poziomu węglowodanów i dodatków zbożowych występujących w innych karmach. Karma jest hipoalergiczna, bo nie zawiera typowych alergenów jak soja, pszenica, kukurydza czy inne zboża. Natomiast zawiera zestaw antyutleniaczy jak selen, naturalny tokoferol (witamina E), olej rozmarynowy. Naturalne kwasy Omega 3 i 6 wspomagają kondycję sierści. Wyciąg z żurawiny udrażnia drogi moczowe oraz wspomaga system trawienny. Naturalne prebiotyki wspomagają rozwój bakterii potrzebnych organizmowi do właściwej pracy układu trawiennego. Pokarm dodatkowo zawiera formułę odkłaczającą.Zalecana porcja dzienna jest podana w przybliżeniu, ponieważ wymagania zależą od wieku, wielkości i poziomu aktywności, a także od tego, czy podawany jest również mokry pokarm. Jeśli kot dostaje również mokry pokarm, to trzeba zmniejszyć porcje suchej karmy, aby zapobiec tyciu.",cat,dry
Applaws Adult Ocean Fish with Salmon Sucha Karma dla kota op. 6kg,159.00,30.00%,14.50%,8.80%,3.50%,,1.40%,,,,"Świeże ryby karpiowate (18%), groch, mąka ze śledzia (12%), mąka z ciecierzycy, soczewica, świeży łosoś (8%), mączka z ryb karpiowatych (5%), siemię lniane, drożdże piwne, olej z łososia (3%), lucerna, mąka z łososia (2,5%), hydrolizowane białko rybne (2,5%), suszona żurawina, witaminy i minerały, olej kokosowy, suszone jabłko, suszona gruszka, inulina, suszone pomidory, suszony szpinak, ekstrakt z cytrusów, ekstrakt z rozmarynu, ekstrakt z juki.","Sucha karma dla kotów Applaws jest unikalną w swojej formule kompletną dietą, zbliżoną do naturalnego pokarmu jakim odżywiają się koty na wolności. Koty są mięsożerne i ich system trawienny jest nastawiony na mięso. Sucha karma Applaws zawiera wysoką ilość białka zwierzęcego bez dużego poziomu węglowodanów i dodatków zbożowych występujących w innych karmach. Karma jest hipoalergiczna, bo nie zawiera typowych alergenów jak soja, pszenica, kukurydza czy inne zboża. W składzie znajduje się aż 80% mięsa ryb i 20% warzyw i składników naturalnych.Natomiast zawiera zestaw antyutleniaczy jak selen, naturalny tokoferol (witamina E), olej rozmarynowy. Naturalne kwasy Omega 3 i 6 wspomagają kondycję sierści. Wyciąg z żurawiny udrażnia drogi moczowe oraz wspomaga system trawienny. Naturalne prebiotyki wspomagają rozwój bakterii potrzebnych organizmowi do właściwej pracy układu trawiennego. Pokarm dodatkowo zawiera formułę odkłaczającą.Zalecana porcja dzienna jest podana w przybliżeniu, ponieważ wymagania zależą od wieku, wielkości i poziomu aktywności, a także od tego, czy podawany jest również mokry pokarm. Jeśli kot dostaje również mokry pokarm, to trzeba zmniejszyć porcje suchej karmy, aby zapobiec tyciu.",cat,dry
